device,dataset,batch_size,seed,rounds,actual_saving_percent,early_fraction_percent,mac_saving_percent,final_latency_ms,dynamic_latency_ms,exit8_latency_ms,forced_fallback_latency_ms,forced_fallback_overhead_percent,isolated_expected_saving_percent
cpu,cifar10,1,54,5,27.193069886703245,59.019999999999996,33.22137175816597,9.3664427142,6.802940497,4.5141963406,9.817262495600001,5.028007763027906,28.559650206021068
cpu,cifar10,1,55,5,28.105975229195714,57.82000000000001,32.545699358425104,9.0357810612,6.4926202988,4.2791970805999995,9.398013449599999,4.054558948425915,28.707504038423593
cpu,cifar10,1,56,5,24.372325249906577,57.0,32.08398988526886,8.901160636,6.733854012,4.3333276586,9.3523261564,5.087665509609659,27.050893445185732
cpu,cifar10,4,54,5,7.848701405758672,58.739999999999995,33.06371486489311,15.775298468600003,14.536970227000001,7.736255484399999,16.583189548399996,5.1097797192779035,
cpu,cifar10,4,55,5,7.755648774830709,58.685,33.03274654657165,16.2114406106,14.948924175000002,7.800345849199999,16.419138867,1.3629699634897974,
cpu,cifar10,4,56,5,7.134860239968535,57.845000000000006,32.55977586675304,16.0932739598,14.941021676,7.737078755400001,16.361420431600003,1.700056394011622,
cpu,cifar10,8,54,5,1.104172717784364,58.6725,33.025708292407685,17.3062133826,17.114195102799997,8.383810810400002,18.019089416600004,4.140991094025353,
cpu,cifar10,8,55,5,2.577130586140226,58.9,33.15380451819188,17.5449714446,17.0920718152,8.5045869112,18.0547510706,2.9076295663644265,
cpu,cifar10,8,56,5,1.2283114510640014,57.915,32.59919009007127,17.418683746200003,17.200163242400002,8.602341865400001,18.0291088536,3.539249803770565,
cpu,cifar10,16,54,5,7.477594392389532,58.847500000000004,33.12424385070322,20.0903434848,18.5866846304,9.3015871606,21.187976776,5.461266407115883,
cpu,cifar10,16,55,5,6.660464182322888,58.7,33.04119245156841,20.709492216799998,19.329314135400004,9.3695733338,21.3642244228,3.163523695484618,
cpu,cifar10,16,56,5,9.21479939804521,57.80625,32.53795727884475,20.8213412176,18.901913611199998,9.5119172088,21.1991408702,1.8309410950869356,
cpu,cifar10,32,54,5,3.913261206924701,58.821875,33.109815429667094,23.103029571,22.1988432554,11.146900724,23.703601326999994,2.6008315124101555,
cpu,cifar10,32,55,5,4.884082073311992,58.74187500000001,33.0647706030177,23.326459076200003,22.1850804256,10.853092875200002,23.8916578412,2.431320619962367,
cpu,cifar10,32,56,5,4.8791471071793735,57.865625,32.57138898612359,23.3297731954,22.1881396304,10.924850707400001,23.766162504,1.8780997522455636,
cpu,cifar100,1,66,5,9.821757911515151,26.860000000000003,15.237902402002012,9.151104895200001,8.2516702902,4.2603039136,9.3523935538,2.4581929588393825,12.515496013187546
cpu,cifar100,1,67,5,9.976307539427605,25.98,14.735310865418139,8.865898034999999,7.9813375382,4.2705521444,9.356011406399997,5.533121635750588,9.374436368917966
cpu,cifar100,1,68,5,10.616244241114726,25.76,14.609662981272175,9.068722528200002,8.104874549,4.292223872199999,9.458823141,4.3024806010291705,10.367748729910664
cpu,cifar100,4,66,5,-3.6190061219679266,26.809999999999995,15.209346064696103,16.1293912214,16.701472737799996,7.951885034,16.591720554200002,2.9356126534084503,
cpu,cifar100,4,67,5,-7.894415222980062,26.734999999999996,15.166511558737259,15.4847452966,16.7040056762,7.7221288024,16.936348105,9.404306422882996,
cpu,cifar100,4,68,5,-5.79796730581999,26.375,14.960905930134766,15.840592321399999,16.7491072842,7.616461901399999,16.6844837104,5.35844131337615,
cpu,cifar100,8,66,5,-2.511252960075119,26.945,15.286448175422038,17.631956689600003,18.073349099399998,8.5670957038,18.2190881634,3.337785632046031,
cpu,cifar100,8,67,5,-3.248943575393008,26.607499999999998,15.093692898607213,17.1575913946,17.7148875496,8.4013906202,18.3208806636,6.784780500065866,
cpu,cifar100,8,68,5,-4.144555360380502,26.455000000000002,15.006596069824209,16.829424537599998,17.5270341038,8.175947643999999,18.0962524972,7.533134520001296,
cpu,cifar100,16,66,5,1.6383715886345396,26.823749999999997,15.217199057455238,20.604801895799998,20.266917516,9.4567493414,21.1757886558,2.771380565434103,
cpu,cifar100,16,67,5,2.084583385317764,26.615,15.09797634920309,20.408556649399998,19.9814498276,9.3995524026,20.8761236398,2.2951642286123786,
cpu,cifar100,16,68,5,-0.14334425498657044,26.365000000000002,14.955194662673582,20.295464303799996,20.3239292526,9.2422058578,21.3285858784,5.095653967018769,
cpu,cifar100,32,66,5,-2.0668316399104114,26.861874999999998,15.23897326465098,22.777027434799997,23.248132383,10.7375581692,23.739998479200004,4.230157931635405,
cpu,cifar100,32,67,5,-2.0556079745355627,26.658749999999998,15.12296314434576,23.1457673944,23.619604513199995,10.861119346399999,23.924546638000002,3.3723544804043293,
cpu,cifar100,32,68,5,-0.39731824767915924,26.39375,14.971614556624482,23.339055185,23.4148832062,10.919911674199998,24.0325342874,2.9764285931549628,
cuda,cifar10,1,54,5,18.16249584755238,59.019999999999996,33.22137175816597,4.4605199664,3.6501082348,2.1059505333999997,5.2696141372,18.134359023912218,23.731942542650092
cuda,cifar10,1,55,5,17.781386601192764,57.82000000000001,32.545699358425104,4.4673313774,3.672620663799999,2.1082320468000004,5.2638558498,17.82907840392831,23.012690362271965
cuda,cifar10,1,56,5,15.479416223795411,57.0,32.08398988526886,4.4413838914,3.7535363334000005,2.1288792532,5.2540660084,18.30968397333958,21.783706456780504
cuda,cifar10,4,54,5,-11.924540961012656,58.739999999999995,33.06371486489311,4.5155944437999995,5.0543186561999995,2.1302785075999995,5.2570696556000005,16.423855222076845,
cuda,cifar10,4,55,5,-13.35489394166773,58.685,33.03274654657165,4.437856781200001,5.0305340542,2.1049584136,5.2666309952,18.678388293230626,
cuda,cifar10,4,56,5,-18.919829469761062,57.845000000000006,32.55977586675304,4.7624358534,5.669292829600001,2.2408003096,5.546448787,17.370914674560726,
cuda,cifar10,8,54,5,-19.39701198278702,58.6725,33.025708292407685,4.4925247112,5.3628988782,2.1307673558,5.228433869600001,16.39793862340122,
cuda,cifar10,8,55,5,-18.872240238847343,58.9,33.15380451819188,4.4966365134,5.3439257276,2.1403151734000003,5.2822744346,17.483840119829914,
cuda,cifar10,8,56,5,-19.442520795971255,57.915,32.59919009007127,4.490186896,5.3628997218,2.1297746198,5.251744363999999,16.97291468852348,
cuda,cifar10,16,54,5,-20.566561452078886,58.847500000000004,33.12424385070322,4.5410973626,5.4747358215999995,2.1613706932,5.3005620432,16.723760481984698,
cuda,cifar10,16,55,5,-20.733794987547164,58.7,33.04119245156841,4.5303397466,5.4697214576,2.1468952926,5.224727099,15.339931637331343,
cuda,cifar10,16,56,5,-19.77955741593639,57.80625,32.53795727884475,4.5536691066,5.454072506199999,2.1449952212,5.258278759,15.477044776287233,
cuda,cifar10,32,54,5,-19.594415915652668,58.821875,33.109815429667094,4.5763770702,5.4728452726,2.171398682,5.3031884442,15.891050809042309,
cuda,cifar10,32,55,5,-20.572339226221988,58.74187500000001,33.0647706030177,4.518029913400001,5.4472743018,2.1390475528,5.2730272626,16.72295823066512,
cuda,cifar10,32,56,5,-20.990884820389894,57.865625,32.57138898612359,4.588692208,5.5517447965999995,2.193662374,5.3639867118,16.90653817029932,
cuda,cifar100,1,66,5,-0.4222749659697467,26.860000000000003,15.237902402002012,4.5471558066,4.5664232158,2.136778537,5.3255292876,17.116595592484593,1.7052321894935616
cuda,cifar100,1,67,5,2.864643793680231,25.98,14.735310865418139,5.2707487432,5.0856630856,2.3631213396,6.0202604068,14.614410874975823,3.43166904815297
cuda,cifar100,1,68,5,-2.572922978908383,25.76,14.609662981272175,4.453002402600001,4.5675131084,2.1249584082,5.2796296512,18.568705461524367,-0.33506853135132797
cuda,cifar100,4,66,5,-19.479355970466138,26.809999999999995,15.209346064696103,4.4841164094,5.3577499498000005,2.1193184914,5.2488403518,17.05566962032857,
cuda,cifar100,4,67,5,-18.056868897425403,26.734999999999996,15.166511558737259,4.499489315,5.3118092032,2.1406430862,5.3243608158,18.34064373300301,
cuda,cifar100,4,68,5,-17.805282204281774,26.375,14.960905930134766,4.5421780828000005,5.3498540886,2.1375921716,5.2849568124,16.38050860374266,
cuda,cifar100,8,66,5,-17.50224480361233,26.945,15.286448175422038,5.9419766046,6.9804238205999996,2.6649360122,6.5045188916,9.536152261836966,
cuda,cifar100,8,67,5,-19.768382796546394,26.607499999999998,15.093692898607213,4.5337487072,5.429850689,2.1212125434,5.2593267016,16.022135911549906,
cuda,cifar100,8,68,5,-21.2491001995276,26.455000000000002,15.006596069824209,4.5378281118,5.5013121468,2.1390799451999998,5.2841635592,16.451384354118204,
cuda,cifar100,16,66,5,-22.415310455515158,26.823749999999997,15.217199057455238,4.4508792078,5.4481500524,2.1489873634,5.3149902702,19.42000313273055,
cuda,cifar100,16,67,5,-21.68306510391841,26.615,15.09797634920309,4.5220503968,5.5026167483999995,2.1315793886,5.3137726328,17.50383856564267,
cuda,cifar100,16,68,5,-21.26466125760702,26.365000000000002,14.955194662673582,4.502414325,5.4594818778,2.1610474688000005,5.281721247,17.319072793954938,
cuda,cifar100,32,66,5,-20.55252369124102,26.861874999999998,15.23897326465098,5.3236566841999995,6.419684760200001,2.5153126111999997,6.1616090058,15.677264258988624,
cuda,cifar100,32,67,5,-27.35800510208267,26.658749999999998,15.12296314434576,4.573258231,5.824757483799999,2.1625524074,5.6395020516,23.309934667571053,
cuda,cifar100,32,68,5,-19.41477958437248,26.39375,14.971614556624482,4.536805709999999,5.4172358624,2.1504013188,5.2285570688,15.253225506261007,
