dataset,mean,metric,n,sample_sd,variant
cifar10,0.8727333333333335,final_validation_accuracy,3,0.001501110699893054,A0
cifar10,2236682.0,parameters_total,3,0.0,A0
cifar10,0.0,parameters_exit_heads,3,0.0,A0
cifar10,1208.0,training_wall_seconds,3,18.520259177452136,A0
cifar10,0.8806666666666666,final_validation_accuracy,3,0.004080849584747449,A1
cifar10,0.8724666666666666,policy_accuracy,3,0.0016653327995728917,A1
cifar10,0.3343533468475058,corrected_policy_saving,3,0.008280624922587703,A1
cifar10,2237332.0,parameters_total,3,0.0,A1
cifar10,650.0,parameters_exit_heads,3,0.0,A1
cifar10,929.3333333333334,training_wall_seconds,3,5.507570547286102,A1
cifar10,0.8813333333333334,final_validation_accuracy,3,0.0034775470281986965,A2
cifar10,0.8744,policy_accuracy,3,0.0023065125189341844,A2
cifar10,0.3703892081670184,corrected_policy_saving,3,0.0019634584729399927,A2
cifar10,2237332.0,parameters_total,3,0.0,A2
cifar10,650.0,parameters_exit_heads,3,0.0,A2
cifar10,927.0,training_wall_seconds,3,7.211102550927978,A2
cifar10,0.8804,final_validation_accuracy,3,0.001248999599679711,A3
cifar10,0.8698666666666667,policy_accuracy,3,0.0038070110760718198,A3
cifar10,0.32928580384944933,corrected_policy_saving,3,0.002960219753076545,A3
cifar10,2238942.0,parameters_total,3,0.0,A3
cifar10,2260.0,parameters_exit_heads,3,0.0,A3
cifar10,936.3333333333334,training_wall_seconds,3,0.5773502691896257,A3
cifar10,0.8784666666666667,final_validation_accuracy,3,0.003711244175924456,A4
cifar10,0.8711333333333333,policy_accuracy,3,0.0009865765724632683,A4
cifar10,0.3642706192138095,corrected_policy_saving,3,0.0027683640654557317,A4
cifar10,2238942.0,parameters_total,3,0.0,A4
cifar10,2260.0,parameters_exit_heads,3,0.0,A4
cifar10,1390.3333333333333,training_wall_seconds,3,35.303446479534166,A4
cifar100,0.5572666666666667,final_validation_accuracy,3,0.0037647487742654717,A0
cifar100,2351972.0,parameters_total,3,0.0,A0
cifar100,0.0,parameters_exit_heads,3,0.0,A0
cifar100,945.0,training_wall_seconds,3,11.269427669584644,A0
cifar100,0.5646,final_validation_accuracy,3,0.002778488797889947,A1
cifar100,0.5661999999999999,policy_accuracy,3,0.006102458520956939,A1
cifar100,0.15222672355438868,corrected_policy_saving,3,0.00405191517597278,A1
cifar100,2358472.0,parameters_total,3,0.0,A1
cifar100,6500.0,parameters_exit_heads,3,0.0,A1
cifar100,933.3333333333334,training_wall_seconds,3,2.8867513459481287,A1
cifar100,0.5672,final_validation_accuracy,3,0.00235796522451029,A2
cifar100,0.5702666666666666,policy_accuracy,3,0.0066523178917827636,A2
cifar100,0.21695442144776522,corrected_policy_saving,3,0.007329435184371481,A2
cifar100,2358472.0,parameters_total,3,0.0,A2
cifar100,6500.0,parameters_exit_heads,3,0.0,A2
cifar100,934.3333333333334,training_wall_seconds,3,1.5275252316519468,A2
cifar100,0.5753333333333334,final_validation_accuracy,3,0.00275922694487664,A3
cifar100,0.5768666666666666,policy_accuracy,3,0.0034312291286553664,A3
cifar100,0.15116062029496835,corrected_policy_saving,3,0.0009161793980465243,A3
cifar100,2374572.0,parameters_total,3,0.0,A3
cifar100,22600.0,parameters_exit_heads,3,0.0,A3
cifar100,947.3333333333334,training_wall_seconds,3,4.163331998932265,A3
cifar100,0.5694666666666667,final_validation_accuracy,3,0.00613297100379036,A4
cifar100,0.5750666666666667,policy_accuracy,3,0.0037004504230341226,A4
cifar100,0.2386191626838424,corrected_policy_saving,3,0.002457836503438075,A4
cifar100,2374572.0,parameters_total,3,0.0,A4
cifar100,22600.0,parameters_exit_heads,3,0.0,A4
cifar100,940.6666666666666,training_wall_seconds,3,1.5275252316519468,A4
