accuracy,accuracy_drop,balanced_accuracy,balanced_accuracy_drop,case,cost_saving_fraction,delayed_exit_count,exit_disagreement_count,expected_cost_fraction,historical_no_overhead_saving,macro_f1,method,premature_count,reference_accuracy,reference_balanced_accuracy,requested_saving,rescue_count,route_fractions,samples,seed,split,threshold,view,worst_class_accuracy_drop
0.87,-0.00019999999999997797,0.8699999999999999,-0.00020000000000000017,cifar10,0.3648712169024681,1139,215,0.6351287830975318,0.36490797684478904,0.8706392736998991,msp,0,0.8698,0.8698,,1,"[0.6482, 0.3518]",5000,54,source,0.983390622786072,same_risk,0.0
0.8718,0.0,0.8718,0.0,cifar10,0.36903786336753674,1128,199,0.6309621366324633,0.36907385007627846,0.8716725543594016,msp,0,0.8718,0.8718,,0,"[0.6556, 0.34440000000000004]",5000,55,source,0.983390622786072,same_risk,0.0
0.8716,0.0,0.8715999999999999,0.0,cifar10,0.36374509623623325,1159,261,0.6362549037637668,0.36378206516060274,0.8719012337456494,msp,0,0.8716,0.8715999999999999,,0,"[0.6462, 0.3538]",5000,56,source,0.983390622786072,same_risk,0.0
0.87,0.0,0.8700000000000001,0.0,cifar10,0.37388018223234626,1109,213,0.6261198177676537,0.37391527031827965,0.8702221963801193,msp,0,0.87,0.8700000000000001,,0,"[0.6642, 0.3358]",5000,57,target,0.983390622786072,same_risk,0.0
0.87,0.0,0.8700000000000001,0.0,cifar10,0.372866673632735,1157,245,0.6271333263672649,0.3729019498025119,0.8705465381481405,msp,0,0.87,0.8700000000000001,,0,"[0.6624, 0.3376]",5000,58,target,0.983390622786072,same_risk,0.0
0.8706,0.0,0.8705999999999999,0.0,cifar10,0.34955597584167525,1285,245,0.6504440241583247,0.34959557793985496,0.8710272687835319,msp,0,0.8706,0.8705999999999999,,0,"[0.621, 0.379]",5000,59,target,0.983390622786072,same_risk,0.0
0.8698,0.0,0.8698,0.0,cifar10,0.1018094292700259,3426,215,0.8981905707299741,0.10189500741886282,0.8704341932434154,msp,0,0.8698,0.8698,0.1,0,"[0.181, 0.819]",5000,54,source,0.9999913824164715,matched_compute,0.0
0.8718,0.0,0.8718,0.0,cifar10,0.1033859982027544,3425,199,0.8966140017972456,0.10347128377672354,0.8716725543594016,msp,0,0.8718,0.8718,0.1,0,"[0.1838, 0.8162]",5000,55,source,0.9999913824164715,matched_compute,0.0
0.8716,0.0,0.8715999999999999,0.0,cifar10,0.09516531733924061,3493,261,0.9048346826607594,0.09525212848216336,0.8719012337456494,msp,0,0.8716,0.8715999999999999,0.1,0,"[0.1692, 0.8308]",5000,56,source,0.9999913824164715,matched_compute,0.0
0.87,0.0,0.8700000000000001,0.0,cifar10,0.12162915299575772,3286,213,0.8783708470042423,0.12171105306054208,0.8702221963801193,msp,0,0.87,0.8700000000000001,0.1,0,"[0.2162, 0.7838]",5000,57,target,0.9999913824164715,matched_compute,0.0
