case,class_id,final_correct,policy_correct,seed,split,strategy,support
cifar10,0,225,225,54,source_F,S,250
cifar10,1,237,237,54,source_F,S,250
cifar10,2,214,214,54,source_F,S,250
cifar10,3,186,186,54,source_F,S,250
cifar10,4,214,214,54,source_F,S,250
cifar10,5,197,197,54,source_F,S,250
cifar10,6,227,227,54,source_F,S,250
cifar10,7,225,225,54,source_F,S,250
cifar10,8,230,230,54,source_F,S,250
cifar10,9,233,233,54,source_F,S,250
cifar10,0,218,218,55,source_F,S,250
cifar10,1,240,240,55,source_F,S,250
cifar10,2,209,209,55,source_F,S,250
cifar10,3,180,180,55,source_F,S,250
cifar10,4,215,215,55,source_F,S,250
cifar10,5,201,201,55,source_F,S,250
cifar10,6,237,237,55,source_F,S,250
cifar10,7,221,221,55,source_F,S,250
cifar10,8,230,230,55,source_F,S,250
cifar10,9,230,230,55,source_F,S,250
cifar10,0,217,217,56,source_F,S,250
cifar10,1,237,237,56,source_F,S,250
cifar10,2,210,210,56,source_F,S,250
cifar10,3,188,188,56,source_F,S,250
cifar10,4,214,214,56,source_F,S,250
cifar10,5,198,198,56,source_F,S,250
cifar10,6,230,230,56,source_F,S,250
cifar10,7,227,227,56,source_F,S,250
cifar10,8,229,229,56,source_F,S,250
cifar10,9,240,240,56,source_F,S,250
cifar10,0,223,223,57,target_E,S,250
cifar10,1,229,229,57,target_E,S,250
cifar10,2,202,202,57,target_E,S,250
cifar10,3,190,190,57,target_E,S,250
cifar10,4,218,218,57,target_E,S,250
cifar10,5,202,202,57,target_E,S,250
cifar10,6,229,229,57,target_E,S,250
cifar10,7,222,222,57,target_E,S,250
cifar10,8,228,228,57,target_E,S,250
cifar10,9,231,231,57,target_E,S,250
cifar10,0,226,226,58,target_E,S,250
cifar10,1,230,230,58,target_E,S,250
cifar10,2,187,187,58,target_E,S,250
cifar10,3,203,203,58,target_E,S,250
cifar10,4,213,213,58,target_E,S,250
cifar10,5,199,199,58,target_E,S,250
cifar10,6,233,233,58,target_E,S,250
cifar10,7,218,218,58,target_E,S,250
cifar10,8,229,229,58,target_E,S,250
cifar10,9,231,231,58,target_E,S,250
cifar10,0,225,225,59,target_E,S,250
cifar10,1,227,227,59,target_E,S,250
cifar10,2,202,202,59,target_E,S,250
cifar10,3,193,193,59,target_E,S,250
cifar10,4,205,205,59,target_E,S,250
cifar10,5,196,196,59,target_E,S,250
cifar10,6,223,223,59,target_E,S,250
cifar10,7,226,226,59,target_E,S,250
cifar10,8,225,225,59,target_E,S,250
cifar10,9,236,236,59,target_E,S,250
cifar10,0,225,225,54,source_F,I,250
cifar10,1,237,237,54,source_F,I,250
cifar10,2,214,214,54,source_F,I,250
cifar10,3,186,186,54,source_F,I,250
cifar10,4,214,214,54,source_F,I,250
cifar10,5,197,197,54,source_F,I,250
cifar10,6,227,227,54,source_F,I,250
cifar10,7,225,225,54,source_F,I,250
cifar10,8,230,230,54,source_F,I,250
cifar10,9,233,233,54,source_F,I,250
cifar10,0,218,218,55,source_F,I,250
cifar10,1,240,240,55,source_F,I,250
cifar10,2,209,209,55,source_F,I,250
cifar10,3,180,180,55,source_F,I,250
cifar10,4,215,215,55,source_F,I,250
cifar10,5,201,201,55,source_F,I,250
cifar10,6,237,237,55,source_F,I,250
cifar10,7,221,221,55,source_F,I,250
cifar10,8,230,230,55,source_F,I,250
cifar10,9,230,230,55,source_F,I,250
cifar10,0,217,219,56,source_F,I,250
cifar10,1,237,237,56,source_F,I,250
cifar10,2,210,210,56,source_F,I,250
cifar10,3,188,188,56,source_F,I,250
cifar10,4,214,215,56,source_F,I,250
cifar10,5,198,198,56,source_F,I,250
cifar10,6,230,230,56,source_F,I,250
cifar10,7,227,227,56,source_F,I,250
cifar10,8,229,229,56,source_F,I,250
cifar10,9,240,240,56,source_F,I,250
cifar10,0,223,222,57,target_E,I,250
cifar10,1,229,229,57,target_E,I,250
cifar10,2,202,196,57,target_E,I,250
cifar10,3,190,188,57,target_E,I,250
cifar10,4,218,222,57,target_E,I,250
cifar10,5,202,209,57,target_E,I,250
cifar10,6,229,227,57,target_E,I,250
cifar10,7,222,220,57,target_E,I,250
cifar10,8,228,230,57,target_E,I,250
cifar10,9,231,234,57,target_E,I,250
cifar10,0,226,226,58,target_E,I,250
cifar10,1,230,230,58,target_E,I,250
cifar10,2,187,187,58,target_E,I,250
cifar10,3,203,203,58,target_E,I,250
cifar10,4,213,213,58,target_E,I,250
cifar10,5,199,199,58,target_E,I,250
cifar10,6,233,233,58,target_E,I,250
cifar10,7,218,218,58,target_E,I,250
cifar10,8,229,229,58,target_E,I,250
cifar10,9,231,231,58,target_E,I,250
cifar10,0,225,225,59,target_E,I,250
cifar10,1,227,227,59,target_E,I,250
cifar10,2,202,202,59,target_E,I,250
cifar10,3,193,193,59,target_E,I,250
cifar10,4,205,205,59,target_E,I,250
cifar10,5,196,196,59,target_E,I,250
cifar10,6,223,223,59,target_E,I,250
cifar10,7,226,226,59,target_E,I,250
cifar10,8,225,224,59,target_E,I,250
cifar10,9,236,236,59,target_E,I,250
cifar10,0,225,225,54,source_F,A,250
cifar10,1,237,237,54,source_F,A,250
cifar10,2,214,214,54,source_F,A,250
cifar10,3,186,186,54,source_F,A,250
cifar10,4,214,214,54,source_F,A,250
cifar10,5,197,197,54,source_F,A,250
cifar10,6,227,227,54,source_F,A,250
cifar10,7,225,225,54,source_F,A,250
cifar10,8,230,230,54,source_F,A,250
cifar10,9,233,233,54,source_F,A,250
cifar10,0,218,218,55,source_F,A,250
cifar10,1,240,240,55,source_F,A,250
cifar10,2,209,209,55,source_F,A,250
cifar10,3,180,180,55,source_F,A,250
cifar10,4,215,215,55,source_F,A,250
