class_id,dataset,final_correct,policy_correct,seed,support
0,cifar10,873,873,54,1000
1,cifar10,939,939,54,1000
2,cifar10,829,829,54,1000
3,cifar10,739,739,54,1000
4,cifar10,861,861,54,1000
5,cifar10,801,801,54,1000
6,cifar10,897,897,54,1000
7,cifar10,897,897,54,1000
8,cifar10,922,922,54,1000
9,cifar10,930,930,54,1000
0,cifar10,897,897,55,1000
1,cifar10,943,943,55,1000
2,cifar10,819,819,55,1000
3,cifar10,749,749,55,1000
4,cifar10,878,878,55,1000
5,cifar10,815,815,55,1000
6,cifar10,882,882,55,1000
7,cifar10,910,910,55,1000
8,cifar10,909,909,55,1000
9,cifar10,924,924,55,1000
0,cifar10,886,886,56,1000
1,cifar10,947,947,56,1000
2,cifar10,817,817,56,1000
3,cifar10,720,720,56,1000
4,cifar10,854,855,56,1000
5,cifar10,800,800,56,1000
6,cifar10,910,910,56,1000
7,cifar10,913,913,56,1000
8,cifar10,941,941,56,1000
9,cifar10,922,922,56,1000
0,cifar100,76,76,66,100
1,cifar100,73,73,66,100
2,cifar100,48,47,66,100
3,cifar100,33,33,66,100
4,cifar100,34,34,66,100
5,cifar100,58,59,66,100
6,cifar100,68,69,66,100
7,cifar100,70,69,66,100
8,cifar100,65,67,66,100
9,cifar100,70,71,66,100
10,cifar100,37,37,66,100
11,cifar100,35,35,66,100
12,cifar100,66,66,66,100
13,cifar100,44,44,66,100
14,cifar100,46,48,66,100
15,cifar100,53,53,66,100
16,cifar100,64,64,66,100
17,cifar100,76,77,66,100
18,cifar100,50,50,66,100
19,cifar100,45,45,66,100
20,cifar100,80,81,66,100
21,cifar100,76,76,66,100
22,cifar100,49,49,66,100
23,cifar100,76,78,66,100
24,cifar100,73,74,66,100
25,cifar100,35,35,66,100
26,cifar100,49,49,66,100
27,cifar100,43,42,66,100
28,cifar100,67,67,66,100
29,cifar100,46,46,66,100
30,cifar100,49,49,66,100
31,cifar100,58,59,66,100
32,cifar100,56,56,66,100
33,cifar100,53,54,66,100
34,cifar100,57,56,66,100
35,cifar100,33,33,66,100
36,cifar100,54,55,66,100
37,cifar100,52,53,66,100
38,cifar100,45,45,66,100
39,cifar100,69,70,66,100
40,cifar100,52,52,66,100
41,cifar100,74,75,66,100
42,cifar100,55,55,66,100
43,cifar100,62,62,66,100
44,cifar100,34,34,66,100
45,cifar100,45,45,66,100
46,cifar100,33,33,66,100
47,cifar100,56,56,66,100
48,cifar100,81,82,66,100
49,cifar100,72,70,66,100
50,cifar100,41,41,66,100
51,cifar100,58,59,66,100
52,cifar100,61,60,66,100
53,cifar100,87,87,66,100
54,cifar100,67,68,66,100
55,cifar100,18,18,66,100
56,cifar100,74,77,66,100
57,cifar100,69,68,66,100
58,cifar100,69,70,66,100
59,cifar100,58,57,66,100
60,cifar100,78,79,66,100
61,cifar100,66,66,66,100
62,cifar100,59,60,66,100
63,cifar100,53,53,66,100
64,cifar100,37,37,66,100
65,cifar100,43,43,66,100
66,cifar100,51,52,66,100
67,cifar100,41,41,66,100
68,cifar100,85,86,66,100
69,cifar100,69,69,66,100
70,cifar100,58,58,66,100
71,cifar100,70,71,66,100
72,cifar100,28,28,66,100
73,cifar100,38,38,66,100
74,cifar100,39,39,66,100
75,cifar100,84,85,66,100
76,cifar100,84,84,66,100
77,cifar100,46,47,66,100
78,cifar100,39,40,66,100
79,cifar100,60,60,66,100
80,cifar100,37,37,66,100
81,cifar100,63,64,66,100
82,cifar100,83,84,66,100
83,cifar100,41,42,66,100
84,cifar100,49,49,66,100
85,cifar100,69,71,66,100
86,cifar100,61,62,66,100
87,cifar100,72,72,66,100
88,cifar100,59,59,66,100
89,cifar100,63,63,66,100
90,cifar100,68,72,66,100
91,cifar100,70,70,66,100
92,cifar100,46,48,66,100
93,cifar100,33,33,66,100
94,cifar100,88,88,66,100
95,cifar100,68,67,66,100
96,cifar100,53,53,66,100
97,cifar100,61,61,66,100
98,cifar100,30,30,66,100
99,cifar100,59,60,66,100
0,cifar100,76,78,67,100
1,cifar100,72,72,67,100
2,cifar100,49,49,67,100
3,cifar100,36,36,67,100
4,cifar100,34,34,67,100
5,cifar100,51,51,67,100
6,cifar100,68,67,67,100
7,cifar100,60,61,67,100
8,cifar100,66,67,67,100
9,cifar100,70,70,67,100
10,cifar100,41,41,67,100
11,cifar100,35,35,67,100
12,cifar100,71,71,67,100
13,cifar100,46,46,67,100
14,cifar100,52,56,67,100
15,cifar100,68,68,67,100
16,cifar100,63,64,67,100
17,cifar100,74,76,67,100
18,cifar100,53,53,67,100
19,cifar100,45,47,67,100
20,cifar100,79,79,67,100
21,cifar100,73,73,67,100
22,cifar100,46,46,67,100
23,cifar100,75,76,67,100
24,cifar100,67,68,67,100
25,cifar100,38,39,67,100
26,cifar100,49,51,67,100
27,cifar100,48,49,67,100
28,cifar100,68,69,67,100
29,cifar100,50,50,67,100
30,cifar100,53,53,67,100
31,cifar100,60,60,67,100
32,cifar100,56,56,67,100
33,cifar100,44,46,67,100
34,cifar100,53,53,67,100
35,cifar100,37,37,67,100
36,cifar100,60,61,67,100
37,cifar100,65,65,67,100
38,cifar100,43,43,67,100
39,cifar100,75,75,67,100
40,cifar100,55,53,67,100
41,cifar100,76,75,67,100
42,cifar100,55,55,67,100
