accuracy,accuracy_drop,balanced_accuracy,balanced_accuracy_drop,candidates,case,cost_saving_fraction,delayed_exit_count,early_fraction,evaluated_ids_sha256,exit_disagreement_count,expected_cost_fraction,fit_ids_sha256,macro_f1,model_recipe,premature_count,reference_accuracy,reference_balanced_accuracy,rescue_count,risk_feasible,samples,saving_floor_pass,seed,selection_risk_feasible,selection_status,source_constraints_include_category,split,strategy,target_recalibrations,threshold,threshold_parameters,worst_class_accuracy_drop
0.8752,0.0,0.8752000000000001,0.0,1002,cifar10,0.3640829324361038,575,0.6468,6fad1d9c0f8bd21db5740693f50628cd3f8a5f353edc234efdebee5542f41eeb,106,0.6359170675638962,6fad1d9c0f8bd21db5740693f50628cd3f8a5f353edc234efdebee5542f41eeb,0.8758547694582871,A4_historical_full,0,0.8752,0.8752000000000001,0,True,2500,True,54,True,selected,True,source_F,S,0,0.9832884467022444,1,0.0
0.8724,0.0,0.8724000000000001,0.0,1002,cifar10,0.37309189776598184,549,0.6628,6fad1d9c0f8bd21db5740693f50628cd3f8a5f353edc234efdebee5542f41eeb,100,0.6269081022340182,6fad1d9c0f8bd21db5740693f50628cd3f8a5f353edc234efdebee5542f41eeb,0.8724156103372336,A4_historical_full,0,0.8724,0.8724000000000001,0,True,2500,True,55,True,selected,True,source_F,S,0,0.9832884467022444,1,0.0
0.876,0.0,0.8760000000000001,0.0,1002,cifar10,0.36881263923428975,571,0.6552,6fad1d9c0f8bd21db5740693f50628cd3f8a5f353edc234efdebee5542f41eeb,133,0.6311873607657102,6fad1d9c0f8bd21db5740693f50628cd3f8a5f353edc234efdebee5542f41eeb,0.8761966428922205,A4_historical_full,0,0.876,0.8760000000000001,0,True,2500,True,56,True,selected,True,source_F,S,0,0.9832884467022444,1,0.0
0.8696,0.0,0.8695999999999999,0.0,1002,cifar10,0.3719657770997472,549,0.6608,7b67ac030a59625bc5a05b251fff845279beb0b8dea7433bd16eeec97eb32f9e,106,0.6280342229002528,6fad1d9c0f8bd21db5740693f50628cd3f8a5f353edc234efdebee5542f41eeb,0.8699402641774225,A4_historical_full,0,0.8696,0.8695999999999999,0,True,2500,True,57,True,selected,True,target_E,S,0,0.9832884467022444,1,0.0
0.8676,0.0,0.8676,0.0,1002,cifar10,0.3694883116340307,589,0.6564,7b67ac030a59625bc5a05b251fff845279beb0b8dea7433bd16eeec97eb32f9e,119,0.6305116883659694,6fad1d9c0f8bd21db5740693f50628cd3f8a5f353edc234efdebee5542f41eeb,0.8677968264914526,A4_historical_full,0,0.8676,0.8676,0,True,2500,True,58,True,selected,True,target_E,S,0,0.9832884467022444,1,0.0
0.8632,0.0,0.8632000000000002,0.0,1002,cifar10,0.3465154500428414,648,0.6156,7b67ac030a59625bc5a05b251fff845279beb0b8dea7433bd16eeec97eb32f9e,118,0.6534845499571587,6fad1d9c0f8bd21db5740693f50628cd3f8a5f353edc234efdebee5542f41eeb,0.8635571223824219,A4_historical_full,0,0.8632,0.8632000000000002,0,True,2500,True,59,True,selected,True,target_E,S,0,0.9832884467022444,1,0.0
0.8752,0.0,0.8752000000000001,0.0,1002,cifar10,0.46993827506217223,213,0.8348,6fad1d9c0f8bd21db5740693f50628cd3f8a5f353edc234efdebee5542f41eeb,106,0.5300617249378278,6fad1d9c0f8bd21db5740693f50628cd3f8a5f353edc234efdebee5542f41eeb,0.8758103249411112,A4_historical_full,1,0.8752,0.8752000000000001,1,True,2500,True,54,True,selected,True,source_F,I,0,0.8288590837041686,3,0.0
0.8724,0.0,0.8724000000000001,0.0,1002,cifar10,0.37309189776598184,549,0.6628,6fad1d9c0f8bd21db5740693f50628cd3f8a5f353edc234efdebee5542f41eeb,100,0.6269081022340182,6fad1d9c0f8bd21db5740693f50628cd3f8a5f353edc234efdebee5542f41eeb,0.8724156103372336,A4_historical_full,0,0.8724,0.8724000000000001,0,True,2500,True,55,True,selected,True,source_F,I,0,0.9832434135080674,3,0.0
0.8772,-0.0011999999999999789,0.8772000000000002,-0.001200000000000001,1002,cifar10,0.4616049821320348,230,0.82,6fad1d9c0f8bd21db5740693f50628cd3f8a5f353edc234efdebee5542f41eeb,133,0.5383950178679652,6fad1d9c0f8bd21db5740693f50628cd3f8a5f353edc234efdebee5542f41eeb,0.8773706605682692,A4_historical_full,1,0.876,0.8760000000000001,4,True,2500,True,56,True,selected,True,source_F,I,0,0.8540860639810137,3,0.0
0.8708,-0.0011999999999999789,0.8708,-0.00119999999999999,1002,cifar10,0.5498928423648408,20,0.9768,7b67ac030a59625bc5a05b251fff845279beb0b8dea7433bd16eeec97eb32f9e,106,0.4501071576351592,6fad1d9c0f8bd21db5740693f50628cd3f8a5f353edc234efdebee5542f41eeb,0.8707953881850278,A4_historical_full,31,0.8696,0.8695999999999999,34,False,2500,True,57,False,selected,True,target_E,I,3,0.4754492935988174,3,0.02400000000000002
0.8676,0.0,0.8676,0.0,1002,cifar10,0.4334519654761656,347,0.77,7b67ac030a59625bc5a05b251fff845279beb0b8dea7433bd16eeec97eb32f9e,119,0.5665480345238344,6fad1d9c0f8bd21db5740693f50628cd3f8a5f353edc234efdebee5542f41eeb,0.8677968264914526,A4_historical_full,0,0.8676,0.8676,0,True,2500,True,58,True,selected,True,target_E,I,3,0.9237678369646429,3,0.0
0.8628,0.00039999999999995595,0.8628,0.00040000000000000034,1002,cifar10,0.4116052245512111,390,0.7312,7b67ac030a59625bc5a05b251fff845279beb0b8dea7433bd16eeec97eb32f9e,118,0.5883947754487888,6fad1d9c0f8bd21db5740693f50628cd3f8a5f353edc234efdebee5542f41eeb,0.8631529691037656,A4_historical_full,1,0.8632,0.8632000000000002,0,False,2500,True,59,False,selected,True,target_E,I,3,0.930177560791802,3,0.0040000000000000036
0.8752,0.0,0.8752000000000001,0.0,1002,cifar10,0.3640829324361038,575,0.6468,6fad1d9c0f8bd21db5740693f50628cd3f8a5f353edc234efdebee5542f41eeb,106,0.6359170675638962,6fad1d9c0f8bd21db5740693f50628cd3f8a5f353edc234efdebee5542f41eeb,0.8758547694582871,A4_historical_full,0,0.8752,0.8752000000000001,0,True,2500,True,54,True,selected,True,source_F,A,0,0.9832884467022444,1,0.0
