,,,,latency_mean_ms,latency_mean_ms,latency_p95_ms,latency_p95_ms,throughput_samples_per_second,throughput_samples_per_second
,,,,mean,std,mean,std,mean,std
device,dataset,batch_size,mode,,,,,,
cpu,cifar10,1,actual_dynamic,6.453471136866667,0.022898647909142762,9.77840474,0.25930100446297877,154.9866498264539,0.5559492783612868
cpu,cifar10,1,exit8_only,4.269145800866666,0.021248929437099464,5.093966763333332,0.15007213670152963,234.26470343278814,1.161694325886891
cpu,cifar10,1,final_only,8.961262759866667,0.1491092697732153,10.542452496666668,0.6471888302121713,111.7010650080557,1.705839642288226
cpu,cifar10,1,forced_fallback,9.310549953333334,0.058454359713479086,10.649941996666668,0.11210017506345955,107.42510781479622,0.6771843139708011
cpu,cifar10,4,actual_dynamic,14.5304648128,0.19699557343484375,18.309009373333335,0.36906523021945514,275.3436449016834,3.735619534456513
cpu,cifar10,4,exit8_only,7.657790159933334,0.031828524881184456,8.851707323333333,0.036540740220562175,522.3680037265498,2.17042536016646
cpu,cifar10,4,final_only,15.695404478999999,0.10627631776077574,17.063762366666666,0.13925860369278475,254.8705375745208,1.7190507042786243
cpu,cifar10,4,forced_fallback,16.28679049286667,0.11293251570183603,17.712366016666667,0.20070872506322815,245.62315126699932,1.6995010783462787
cpu,cifar10,8,actual_dynamic,16.878118944666667,0.12709289582099423,19.557432213333332,0.24403672824581293,474.0711179313517,3.566515554404498
cpu,cifar10,8,exit8_only,8.477594567399999,0.02828544877116257,9.646729873333333,0.024818386278507472,943.9626002174851,3.0485123964848424
cpu,cifar10,8,final_only,17.4612877628,0.28328125446650776,18.919165996666667,0.3320870923244378,458.28411924866333,7.509584186379294
cpu,cifar10,8,forced_fallback,18.1491392276,0.26079780245825923,20.322104796666665,1.2125899024041609,441.0865312530452,5.944808291895447
cpu,cifar10,16,actual_dynamic,18.516034291866664,0.36391182387433163,21.102861723333334,0.3700926763362301,864.4522330418291,17.23802287725454
cpu,cifar10,16,exit8_only,9.372738840400002,0.262780061586287,10.592074916666666,0.25050885827282393,1710.1539205227548,51.39345983745654
cpu,cifar10,16,final_only,20.559169217199997,0.3888737766709973,22.078214810000002,0.5236579736185859,778.476428890604,14.770124788299263
cpu,cifar10,16,forced_fallback,21.064762313066666,0.30437374959880825,22.68439379,0.21547434579045985,759.7370608368628,11.095730729231978
cpu,cifar10,32,actual_dynamic,22.211725655533332,0.03002573994767593,24.21736066,0.060238198698197506,1440.9083137208534,1.9463436001605448
cpu,cifar10,32,exit8_only,11.035639359933333,0.05477527650961844,12.37148956,0.08367521845760739,2900.747455267263,14.800985872177353
cpu,cifar10,32,final_only,23.359667351400002,0.2647702893601637,24.960462309999997,0.4532402793825781,1370.107306693242,15.286245648801662
cpu,cifar10,32,forced_fallback,23.965415076866666,0.21186713871729784,25.621091393333334,0.2900065591546538,1335.5473930719506,11.769020666507732
cpu,cifar100,1,actual_dynamic,8.020404661999999,0.05410940243129718,10.501005919999999,0.08149021088297155,124.71154551055129,0.8573757720286813
cpu,cifar100,1,exit8_only,4.263288100866666,0.044735679657594785,4.936320653333332,0.2953415216306149,234.60134469547134,2.4387703804890712
cpu,cifar100,1,final_only,8.905289966266666,0.09805556000951106,10.233431803333334,0.19126114917063494,112.33165043368354,1.2284430707368952
cpu,cifar100,1,forced_fallback,9.336876340000002,0.02931369342929624,10.684072120000002,0.08173121913049437,107.14993782066068,0.34342888192829624
cpu,cifar100,4,actual_dynamic,16.436203668466664,0.052330979151470676,18.791620016666666,0.1674276394058933,243.37949755181634,0.7765751902108462
cpu,cifar100,4,exit8_only,7.720760722133334,0.24156676843247835,8.890116843333333,0.25932104267535466,518.5525810034255,15.748504949165032
cpu,cifar100,4,final_only,15.700389798666668,0.2476734003229386,17.085614836666664,0.17886926596099717,254.84051473012278,3.982901338015068
cpu,cifar100,4,forced_fallback,16.473267171333333,0.01136542602881022,17.983173696666665,0.1383955014024153,242.84146317024477,0.16710569560472455
cpu,cifar100,8,actual_dynamic,17.625744115866667,0.12559996374321838,19.77272221333333,0.17579386798263927,453.90739110662275,3.2311318301163374
cpu,cifar100,8,exit8_only,8.499263385466667,0.11168582075563296,9.793080083333335,0.10445965348483022,941.7947411116455,12.589474734074235
cpu,cifar100,8,final_only,17.403013012333332,0.342419497510397,18.946231603333334,0.34943173079275425,459.8835886139511,9.06586683082226
cpu,cifar100,8,forced_fallback,18.1051185458,0.16584194648396963,19.679812003333335,0.18874059185606887,441.9589014344597,4.057060742309588
cpu,cifar100,16,actual_dynamic,20.190002836,0.039746266804071416,22.174662206666667,0.13565329027496686,792.602489386789,1.6920236600361043
cpu,cifar100,16,exit8_only,9.313469763333334,0.16651757500386172,10.505596086666666,0.1998771758883629,1718.5892738972307,30.7920799409134
cpu,cifar100,16,final_only,20.429111106866667,0.3263460586464002,21.747125790000002,0.41567075813000065,783.3696864016489,12.415325628271198
